        1000  1.000000000000000E-002           2   1.00000000000000     
   0.13400000D+01  0.13400000D+01  0.12800000D+01
   0.00000000D+00  0.16551096D+02 -0.52249531D+02 -0.30765979D+02
   0.10000000D-01  0.16551084D+02 -0.52249538D+02 -0.30765989D+02
   0.20000000D-01  0.16551133D+02 -0.52249423D+02 -0.30765914D+02
   0.30000000D-01  0.16551092D+02 -0.52249177D+02 -0.30765841D+02
   0.40000000D-01  0.16550836D+02 -0.52248663D+02 -0.30765793D+02
   0.50000000D-01  0.16550221D+02 -0.52247659D+02 -0.30765768D+02
   0.60000000D-01  0.16549084D+02 -0.52245857D+02 -0.30765742D+02
   0.70000000D-01  0.16547244D+02 -0.52242873D+02 -0.30765670D+02
   0.80000000D-01  0.16544504D+02 -0.52238240D+02 -0.30765484D+02
   0.90000000D-01  0.16540646D+02 -0.52231421D+02 -0.30765097D+02
   0.10000000D+00  0.16535437D+02 -0.52221804D+02 -0.30764401D+02
   0.11000000D+00  0.16528624D+02 -0.52208711D+02 -0.30763268D+02
   0.12000000D+00  0.16519942D+02 -0.52191402D+02 -0.30761552D+02
   0.13000000D+00  0.16509106D+02 -0.52169079D+02 -0.30759089D+02
   0.14000000D+00  0.16495817D+02 -0.52140891D+02 -0.30755696D+02
   0.15000000D+00  0.16479760D+02 -0.52105941D+02 -0.30751176D+02
   0.16000000D+00  0.16460606D+02 -0.52063289D+02 -0.30745318D+02
   0.17000000D+00  0.16438013D+02 -0.52011965D+02 -0.30737893D+02
   0.18000000D+00  0.16411625D+02 -0.51950966D+02 -0.30728664D+02
   0.19000000D+00  0.16381073D+02 -0.51879272D+02 -0.30717380D+02
   0.20000000D+00  0.16345978D+02 -0.51795845D+02 -0.30703780D+02
   0.21000000D+00  0.16305949D+02 -0.51699645D+02 -0.30687594D+02
   0.22000000D+00  0.16260586D+02 -0.51589628D+02 -0.30668546D+02
   0.23000000D+00  0.16209479D+02 -0.51464762D+02 -0.30646352D+02
   0.24000000D+00  0.16152210D+02 -0.51324026D+02 -0.30620726D+02
   0.25000000D+00  0.16088356D+02 -0.51166427D+02 -0.30591376D+02
   0.26000000D+00  0.16017487D+02 -0.50990998D+02 -0.30558010D+02
   0.27000000D+00  0.15939168D+02 -0.50796812D+02 -0.30520335D+02
   0.28000000D+00  0.15852961D+02 -0.50582988D+02 -0.30478062D+02
   0.29000000D+00  0.15758427D+02 -0.50348696D+02 -0.30430901D+02
   0.30000000D+00  0.15655126D+02 -0.50093164D+02 -0.30378569D+02
   0.31000000D+00  0.15542617D+02 -0.49815688D+02 -0.30320789D+02
   0.32000000D+00  0.15420465D+02 -0.49515634D+02 -0.30257290D+02
   0.33000000D+00  0.15288235D+02 -0.49192446D+02 -0.30187811D+02
   0.34000000D+00  0.15145501D+02 -0.48845652D+02 -0.30112100D+02
   0.35000000D+00  0.14991842D+02 -0.48474868D+02 -0.30029918D+02
   0.36000000D+00  0.14826846D+02 -0.48079803D+02 -0.29941040D+02
   0.37000000D+00  0.14650114D+02 -0.47660263D+02 -0.29845252D+02
   0.38000000D+00  0.14461258D+02 -0.47216155D+02 -0.29742358D+02
   0.39000000D+00  0.14259905D+02 -0.46747488D+02 -0.29632180D+02
   0.40000000D+00  0.14045700D+02 -0.46254379D+02 -0.29514556D+02
   0.41000000D+00  0.13818305D+02 -0.45737052D+02 -0.29389342D+02
   0.42000000D+00  0.13577404D+02 -0.45195838D+02 -0.29256417D+02
   0.43000000D+00  0.13322704D+02 -0.44631179D+02 -0.29115679D+02
   0.44000000D+00  0.13053938D+02 -0.44043625D+02 -0.28967049D+02
   0.45000000D+00  0.12770865D+02 -0.43433834D+02 -0.28810469D+02
   0.46000000D+00  0.12473275D+02 -0.42802571D+02 -0.28645905D+02
   0.47000000D+00  0.12160990D+02 -0.42150705D+02 -0.28473347D+02
   0.48000000D+00  0.11833866D+02 -0.41479207D+02 -0.28292809D+02
   0.49000000D+00  0.11491796D+02 -0.40789144D+02 -0.28104328D+02
   0.50000000D+00  0.11134711D+02 -0.40081680D+02 -0.27907969D+02
   0.51000000D+00  0.10762585D+02 -0.39358066D+02 -0.27703820D+02
   0.52000000D+00  0.10375434D+02 -0.38619639D+02 -0.27491993D+02
   0.53000000D+00  0.99733197D+01 -0.37867812D+02 -0.27272626D+02
   0.54000000D+00  0.95563513D+01 -0.37104072D+02 -0.27045881D+02
   0.55000000D+00  0.91246880D+01 -0.36329972D+02 -0.26811945D+02
   0.56000000D+00  0.86785410D+01 -0.35547123D+02 -0.26571030D+02
   0.57000000D+00  0.82181745D+01 -0.34757187D+02 -0.26323368D+02
   0.58000000D+00  0.77439067D+01 -0.33961871D+02 -0.26069215D+02
   0.59000000D+00  0.72561137D+01 -0.33162916D+02 -0.25808851D+02
   0.60000000D+00  0.67552304D+01 -0.32362092D+02 -0.25542574D+02
   0.61000000D+00  0.62417486D+01 -0.31561186D+02 -0.25270704D+02
   0.62000000D+00  0.57162211D+01 -0.30761998D+02 -0.24993579D+02
   0.63000000D+00  0.51792641D+01 -0.29966329D+02 -0.24711553D+02
   0.64000000D+00  0.46315516D+01 -0.29175973D+02 -0.24424999D+02
   0.65000000D+00  0.40738211D+01 -0.28392709D+02 -0.24134303D+02
   0.66000000D+00  0.35068742D+01 -0.27618290D+02 -0.23839864D+02
   0.67000000D+00  0.29315690D+01 -0.26854440D+02 -0.23542094D+02
   0.68000000D+00  0.23488298D+01 -0.26102837D+02 -0.23241414D+02
   0.69000000D+00  0.17596387D+01 -0.25365111D+02 -0.22938252D+02
   0.70000000D+00  0.11650344D+01 -0.24642836D+02 -0.22633044D+02
   0.71000000D+00  0.56611905D+00 -0.23937512D+02 -0.22326230D+02
   0.72000000D+00 -0.35958447D-01 -0.23250575D+02 -0.22018250D+02
   0.73000000D+00 -0.63998837D+00 -0.22583366D+02 -0.21709548D+02
   0.74000000D+00 -0.12447171D+01 -0.21937145D+02 -0.21400563D+02
   0.75000000D+00 -0.18488416D+01 -0.21313070D+02 -0.21091732D+02
   0.76000000D+00 -0.24510163D+01 -0.20712189D+02 -0.20783485D+02
   0.77000000D+00 -0.30498595D+01 -0.20135452D+02 -0.20476247D+02
   0.78000000D+00 -0.36439522D+01 -0.19583669D+02 -0.20170431D+02
   0.79000000D+00 -0.42318516D+01 -0.19057552D+02 -0.19866439D+02
   0.80000000D+00 -0.48120887D+01 -0.18557650D+02 -0.19564660D+02
   0.81000000D+00 -0.53831820D+01 -0.18084413D+02 -0.19265471D+02
   0.82000000D+00 -0.59436398D+01 -0.17638109D+02 -0.18969231D+02
   0.83000000D+00 -0.64919695D+01 -0.17218908D+02 -0.18676287D+02
   0.84000000D+00 -0.70266892D+01 -0.16826784D+02 -0.18386962D+02
   0.85000000D+00 -0.75463275D+01 -0.16461610D+02 -0.18101570D+02
   0.86000000D+00 -0.80494501D+01 -0.16123057D+02 -0.17820402D+02
   0.87000000D+00 -0.85346449D+01 -0.15810698D+02 -0.17543736D+02
   0.88000000D+00 -0.90005672D+01 -0.15523902D+02 -0.17271833D+02
   0.89000000D+00 -0.94459086D+01 -0.15261937D+02 -0.17004941D+02
   0.90000000D+00 -0.98694584D+01 -0.15023886D+02 -0.16743294D+02
   0.91000000D+00 -0.10270066D+02 -0.14808723D+02 -0.16487116D+02
   0.92000000D+00 -0.10646695D+02 -0.14615270D+02 -0.16236623D+02
   0.93000000D+00 -0.10998413D+02 -0.14442219D+02 -0.15992021D+02
   0.94000000D+00 -0.11324398D+02 -0.14288172D+02 -0.15753518D+02
   0.95000000D+00 -0.11624012D+02 -0.14151594D+02 -0.15521325D+02
   0.96000000D+00 -0.11896713D+02 -0.14030920D+02 -0.15295668D+02
   0.97000000D+00 -0.12142269D+02 -0.13924528D+02 -0.15076842D+02
   0.98000000D+00 -0.12360540D+02 -0.13830771D+02 -0.14865147D+02
   0.99000000D+00 -0.12551556D+02 -0.13747874D+02 -0.14660813D+02
   0.10000000D+01 -0.12715460D+02 -0.13673979D+02 -0.14464016D+02
   0.10100000D+01 -0.12852517D+02 -0.13607199D+02 -0.14274893D+02
   0.10200000D+01 -0.12963212D+02 -0.13545595D+02 -0.14093498D+02
   0.10300000D+01 -0.13048090D+02 -0.13487231D+02 -0.13919865D+02
   0.10400000D+01 -0.13107962D+02 -0.13430239D+02 -0.13753943D+02
   0.10500000D+01 -0.13143763D+02 -0.13372784D+02 -0.13595637D+02
   0.10600000D+01 -0.13156586D+02 -0.13313157D+02 -0.13444811D+02
   0.10700000D+01 -0.13147817D+02 -0.13249877D+02 -0.13301244D+02
   0.10800000D+01 -0.13118904D+02 -0.13181530D+02 -0.13164701D+02
   0.10900000D+01 -0.13071618D+02 -0.13107161D+02 -0.13034875D+02
   0.11000000D+01 -0.13007932D+02 -0.13026092D+02 -0.12911411D+02
   0.11100000D+01 -0.12929933D+02 -0.12937876D+02 -0.12793938D+02
   0.11200000D+01 -0.12840114D+02 -0.12842875D+02 -0.12682013D+02
   0.11300000D+01 -0.12741064D+02 -0.12741644D+02 -0.12575180D+02
   0.11400000D+01 -0.12635646D+02 -0.12635518D+02 -0.12472956D+02
   0.11500000D+01 -0.12527168D+02 -0.12527079D+02 -0.12374822D+02
   0.11600000D+01 -0.12418886D+02 -0.12418950D+02 -0.12280253D+02
   0.11700000D+01 -0.12312366D+02 -0.12312438D+02 -0.12188718D+02
   0.11800000D+01 -0.12207651D+02 -0.12207667D+02 -0.12099683D+02
   0.11900000D+01 -0.12104728D+02 -0.12104708D+02 -0.12012613D+02
   0.12000000D+01 -0.12003560D+02 -0.12003541D+02 -0.11927014D+02
   0.12100000D+01 -0.11904092D+02 -0.11904089D+02 -0.11842410D+02
   0.12200000D+01 -0.11806272D+02 -0.11806278D+02 -0.11758342D+02
   0.12300000D+01 -0.11710056D+02 -0.11710061D+02 -0.11674455D+02
   0.12400000D+01 -0.11615407D+02 -0.11615407D+02 -0.11590448D+02
   0.12500000D+01 -0.11522288D+02 -0.11522286D+02 -0.11506043D+02
   0.12600000D+01 -0.11430662D+02 -0.11430660D+02 -0.11421144D+02
   0.12700000D+01 -0.11340493D+02 -0.11340492D+02 -0.11335746D+02
   0.12800000D+01 -0.11251744D+02 -0.11251744D+02 -0.11249873D+02
   0.12900000D+01 -0.11164381D+02 -0.11164382D+02 -0.11163883D+02
   0.13000000D+01 -0.11078373D+02 -0.11078373D+02 -0.11078320D+02
   0.13100000D+01 -0.10993687D+02 -0.10993687D+02 -0.10993720D+02
   0.13200000D+01 -0.10910293D+02 -0.10910293D+02 -0.10910336D+02
   0.13300000D+01 -0.10828161D+02 -0.10828161D+02 -0.10828179D+02
