        1000  1.000000000000000E-002           2   1.00000000000000     
   0.32000000D+01  0.22600000D+01  0.32000000D+01
   0.00000000D+00  0.17181142D+02  0.29815879D+01 -0.40077912D+02
   0.10000000D-01  0.17181144D+02  0.29815895D+01 -0.40077910D+02
   0.20000000D-01  0.17181141D+02  0.29815882D+01 -0.40077908D+02
   0.30000000D-01  0.17181119D+02  0.29815750D+01 -0.40077910D+02
   0.40000000D-01  0.17181066D+02  0.29815431D+01 -0.40077910D+02
   0.50000000D-01  0.17180966D+02  0.29814879D+01 -0.40077898D+02
   0.60000000D-01  0.17180802D+02  0.29814069D+01 -0.40077857D+02
   0.70000000D-01  0.17180560D+02  0.29812999D+01 -0.40077763D+02
   0.80000000D-01  0.17180221D+02  0.29811684D+01 -0.40077586D+02
   0.90000000D-01  0.17179767D+02  0.29810162D+01 -0.40077291D+02
   0.10000000D+00  0.17179180D+02  0.29808493D+01 -0.40076835D+02
   0.11000000D+00  0.17178440D+02  0.29806753D+01 -0.40076170D+02
   0.12000000D+00  0.17177526D+02  0.29805041D+01 -0.40075241D+02
   0.13000000D+00  0.17176418D+02  0.29803474D+01 -0.40073988D+02
   0.14000000D+00  0.17175093D+02  0.29802188D+01 -0.40072345D+02
   0.15000000D+00  0.17173529D+02  0.29801339D+01 -0.40070240D+02
   0.16000000D+00  0.17171702D+02  0.29801099D+01 -0.40067596D+02
   0.17000000D+00  0.17169588D+02  0.29801659D+01 -0.40064330D+02
   0.18000000D+00  0.17167162D+02  0.29803226D+01 -0.40060356D+02
   0.19000000D+00  0.17164399D+02  0.29806023D+01 -0.40055580D+02
   0.20000000D+00  0.17161271D+02  0.29810290D+01 -0.40049904D+02
   0.21000000D+00  0.17157752D+02  0.29816282D+01 -0.40043227D+02
   0.22000000D+00  0.17153813D+02  0.29824267D+01 -0.40035443D+02
   0.23000000D+00  0.17149427D+02  0.29834527D+01 -0.40026439D+02
   0.24000000D+00  0.17144563D+02  0.29847358D+01 -0.40016103D+02
   0.25000000D+00  0.17139191D+02  0.29863067D+01 -0.40004314D+02
   0.26000000D+00  0.17133281D+02  0.29881971D+01 -0.39990953D+02
   0.27000000D+00  0.17126801D+02  0.29904401D+01 -0.39975892D+02
   0.28000000D+00  0.17119718D+02  0.29930693D+01 -0.39959004D+02
   0.29000000D+00  0.17111999D+02  0.29961196D+01 -0.39940158D+02
   0.30000000D+00  0.17103610D+02  0.29996262D+01 -0.39919221D+02
   0.31000000D+00  0.17094518D+02  0.30036253D+01 -0.39896057D+02
   0.32000000D+00  0.17084686D+02  0.30081537D+01 -0.39870528D+02
   0.33000000D+00  0.17074080D+02  0.30132484D+01 -0.39842495D+02
   0.34000000D+00  0.17062661D+02  0.30189469D+01 -0.39811817D+02
   0.35000000D+00  0.17050393D+02  0.30252871D+01 -0.39778354D+02
   0.36000000D+00  0.17037238D+02  0.30323069D+01 -0.39741962D+02
   0.37000000D+00  0.17023157D+02  0.30400443D+01 -0.39702499D+02
   0.38000000D+00  0.17008111D+02  0.30485374D+01 -0.39659822D+02
   0.39000000D+00  0.16992059D+02  0.30578239D+01 -0.39613788D+02
   0.40000000D+00  0.16974962D+02  0.30679415D+01 -0.39564255D+02
   0.41000000D+00  0.16956777D+02  0.30789273D+01 -0.39511082D+02
   0.42000000D+00  0.16937462D+02  0.30908180D+01 -0.39454128D+02
   0.43000000D+00  0.16916976D+02  0.31036500D+01 -0.39393253D+02
   0.44000000D+00  0.16895274D+02  0.31174586D+01 -0.39328323D+02
   0.45000000D+00  0.16872313D+02  0.31322785D+01 -0.39259200D+02
   0.46000000D+00  0.16848049D+02  0.31481435D+01 -0.39185753D+02
   0.47000000D+00  0.16822436D+02  0.31650864D+01 -0.39107851D+02
   0.48000000D+00  0.16795430D+02  0.31831388D+01 -0.39025368D+02
   0.49000000D+00  0.16766983D+02  0.32023313D+01 -0.38938180D+02
   0.50000000D+00  0.16737049D+02  0.32226930D+01 -0.38846167D+02
   0.51000000D+00  0.16705582D+02  0.32442515D+01 -0.38749214D+02
   0.52000000D+00  0.16672533D+02  0.32670331D+01 -0.38647208D+02
   0.53000000D+00  0.16637855D+02  0.32910623D+01 -0.38540042D+02
   0.54000000D+00  0.16601499D+02  0.33163620D+01 -0.38427614D+02
   0.55000000D+00  0.16563416D+02  0.33429533D+01 -0.38309826D+02
   0.56000000D+00  0.16523557D+02  0.33708554D+01 -0.38186587D+02
   0.57000000D+00  0.16481872D+02  0.34000853D+01 -0.38057810D+02
   0.58000000D+00  0.16438312D+02  0.34306583D+01 -0.37923414D+02
   0.59000000D+00  0.16392826D+02  0.34625872D+01 -0.37783325D+02
   0.60000000D+00  0.16345364D+02  0.34958827D+01 -0.37637476D+02
   0.61000000D+00  0.16295874D+02  0.35305532D+01 -0.37485803D+02
   0.62000000D+00  0.16244307D+02  0.35666048D+01 -0.37328254D+02
   0.63000000D+00  0.16190611D+02  0.36040409D+01 -0.37164780D+02
   0.64000000D+00  0.16134734D+02  0.36428625D+01 -0.36995340D+02
   0.65000000D+00  0.16076627D+02  0.36830681D+01 -0.36819901D+02
   0.66000000D+00  0.16016237D+02  0.37246534D+01 -0.36638438D+02
   0.67000000D+00  0.15953513D+02  0.37676115D+01 -0.36450932D+02
