        1000  1.000000000000000E-002           2   1.00000000000000     
   0.16300000D+01  0.25600000D+01  0.25600000D+01
   0.00000000D+00  0.18077351D+02 -0.14329440D+02 -0.12224472D+03
   0.10000000D-01  0.18077357D+02 -0.14329432D+02 -0.12224471D+03
   0.20000000D-01  0.18077371D+02 -0.14329403D+02 -0.12224463D+03
   0.30000000D-01  0.18077372D+02 -0.14329330D+02 -0.12224436D+03
   0.40000000D-01  0.18077340D+02 -0.14329170D+02 -0.12224366D+03
   0.50000000D-01  0.18077252D+02 -0.14328854D+02 -0.12224220D+03
   0.60000000D-01  0.18077078D+02 -0.14328294D+02 -0.12223958D+03
   0.70000000D-01  0.18076787D+02 -0.14327378D+02 -0.12223528D+03
   0.80000000D-01  0.18076344D+02 -0.14325975D+02 -0.12222868D+03
   0.90000000D-01  0.18075711D+02 -0.14323929D+02 -0.12221912D+03
   0.10000000D+00  0.18074846D+02 -0.14321069D+02 -0.12220580D+03
   0.11000000D+00  0.18073703D+02 -0.14317202D+02 -0.12218786D+03
   0.12000000D+00  0.18072234D+02 -0.14312114D+02 -0.12216437D+03
   0.13000000D+00  0.18070386D+02 -0.14305578D+02 -0.12213431D+03
   0.14000000D+00  0.18068104D+02 -0.14297345D+02 -0.12209658D+03
   0.15000000D+00  0.18065329D+02 -0.14287154D+02 -0.12205004D+03
   0.16000000D+00  0.18061999D+02 -0.14274727D+02 -0.12199345D+03
   0.17000000D+00  0.18058049D+02 -0.14259773D+02 -0.12192554D+03
   0.18000000D+00  0.18053410D+02 -0.14241988D+02 -0.12184497D+03
   0.19000000D+00  0.18048010D+02 -0.14221055D+02 -0.12175036D+03
   0.20000000D+00  0.18041775D+02 -0.14196651D+02 -0.12164027D+03
   0.21000000D+00  0.18034627D+02 -0.14168439D+02 -0.12151324D+03
   0.22000000D+00  0.18026485D+02 -0.14136080D+02 -0.12136777D+03
   0.23000000D+00  0.18017265D+02 -0.14099224D+02 -0.12120234D+03
   0.24000000D+00  0.18006880D+02 -0.14057520D+02 -0.12101540D+03
   0.25000000D+00  0.17995241D+02 -0.14010613D+02 -0.12080541D+03
   0.26000000D+00  0.17982256D+02 -0.13958147D+02 -0.12057079D+03
   0.27000000D+00  0.17967828D+02 -0.13899764D+02 -0.12030999D+03
   0.28000000D+00  0.17951862D+02 -0.13835111D+02 -0.12002145D+03
   0.29000000D+00  0.17934256D+02 -0.13763835D+02 -0.11970365D+03
   0.30000000D+00  0.17914908D+02 -0.13685592D+02 -0.11935506D+03
   0.31000000D+00  0.17893713D+02 -0.13600040D+02 -0.11897420D+03
   0.32000000D+00  0.17870563D+02 -0.13506848D+02 -0.11855963D+03
   0.33000000D+00  0.17845349D+02 -0.13405694D+02 -0.11810994D+03
   0.34000000D+00  0.17817960D+02 -0.13296267D+02 -0.11762377D+03
   0.35000000D+00  0.17788281D+02 -0.13178269D+02 -0.11709984D+03
   0.36000000D+00  0.17756198D+02 -0.13051416D+02 -0.11653692D+03
   0.37000000D+00  0.17721594D+02 -0.12915441D+02 -0.11593384D+03
   0.38000000D+00  0.17684349D+02 -0.12770093D+02 -0.11528954D+03
   0.39000000D+00  0.17644344D+02 -0.12615141D+02 -0.11460302D+03
