        1000  1.000000000000000E-002           2   1.00000000000000     
   0.18900000D+01  0.14000000D+01  0.15300000D+01
   0.00000000D+00  0.40738896D+02 -0.14683284D+02 -0.21544615D+02
   0.10000000D-01  0.40738860D+02 -0.14683317D+02 -0.21544649D+02
   0.20000000D-01  0.40738555D+02 -0.14683584D+02 -0.21544931D+02
   0.30000000D-01  0.40737642D+02 -0.14684330D+02 -0.21545739D+02
   0.40000000D-01  0.40735758D+02 -0.14685764D+02 -0.21547343D+02
   0.50000000D-01  0.40732514D+02 -0.14688060D+02 -0.21549995D+02
   0.60000000D-01  0.40727497D+02 -0.14691358D+02 -0.21553939D+02
   0.70000000D-01  0.40720272D+02 -0.14695757D+02 -0.21559398D+02
   0.80000000D-01  0.40710384D+02 -0.14701321D+02 -0.21566583D+02
   0.90000000D-01  0.40697360D+02 -0.14708076D+02 -0.21575683D+02
   0.10000000D+00  0.40680708D+02 -0.14716009D+02 -0.21586871D+02
   0.11000000D+00  0.40659924D+02 -0.14725070D+02 -0.21600301D+02
   0.12000000D+00  0.40634487D+02 -0.14735173D+02 -0.21616104D+02
   0.13000000D+00  0.40603863D+02 -0.14746196D+02 -0.21634395D+02
   0.14000000D+00  0.40567509D+02 -0.14757982D+02 -0.21655265D+02
   0.15000000D+00  0.40524868D+02 -0.14770341D+02 -0.21678788D+02
   0.16000000D+00  0.40475376D+02 -0.14783052D+02 -0.21705015D+02
   0.17000000D+00  0.40418459D+02 -0.14795866D+02 -0.21733979D+02
   0.18000000D+00  0.40353537D+02 -0.14808505D+02 -0.21765692D+02
   0.19000000D+00  0.40280023D+02 -0.14820666D+02 -0.21800149D+02
   0.20000000D+00  0.40197323D+02 -0.14832026D+02 -0.21837324D+02
   0.21000000D+00  0.40104842D+02 -0.14842240D+02 -0.21877175D+02
   0.22000000D+00  0.40001977D+02 -0.14850947D+02 -0.21919643D+02
   0.23000000D+00  0.39888126D+02 -0.14857773D+02 -0.21964652D+02
   0.24000000D+00  0.39762685D+02 -0.14862331D+02 -0.22012112D+02
   0.25000000D+00  0.39625049D+02 -0.14864227D+02 -0.22061916D+02
   0.26000000D+00  0.39474614D+02 -0.14863061D+02 -0.22113946D+02
   0.27000000D+00  0.39310778D+02 -0.14858433D+02 -0.22168071D+02
   0.28000000D+00  0.39132942D+02 -0.14849942D+02 -0.22224148D+02
   0.29000000D+00  0.38940514D+02 -0.14837192D+02 -0.22282023D+02
   0.30000000D+00  0.38732906D+02 -0.14819795D+02 -0.22341534D+02
   0.31000000D+00  0.38509537D+02 -0.14797371D+02 -0.22402509D+02
   0.32000000D+00  0.38269836D+02 -0.14769555D+02 -0.22464770D+02
   0.33000000D+00  0.38013245D+02 -0.14735998D+02 -0.22528130D+02
   0.34000000D+00  0.37739215D+02 -0.14696367D+02 -0.22592399D+02
   0.35000000D+00  0.37447213D+02 -0.14650352D+02 -0.22657380D+02
   0.36000000D+00  0.37136724D+02 -0.14597668D+02 -0.22722873D+02
   0.37000000D+00  0.36807250D+02 -0.14538051D+02 -0.22788676D+02
   0.38000000D+00  0.36458314D+02 -0.14471270D+02 -0.22854582D+02
   0.39000000D+00  0.36089462D+02 -0.14397120D+02 -0.22920383D+02
   0.40000000D+00  0.35700267D+02 -0.14315428D+02 -0.22985871D+02
   0.41000000D+00  0.35290327D+02 -0.14226054D+02 -0.23050836D+02
   0.42000000D+00  0.34859274D+02 -0.14128891D+02 -0.23115066D+02
   0.43000000D+00  0.34406773D+02 -0.14023866D+02 -0.23178351D+02
   0.44000000D+00  0.33932524D+02 -0.13910941D+02 -0.23240479D+02
   0.45000000D+00  0.33436269D+02 -0.13790112D+02 -0.23301238D+02
   0.46000000D+00  0.32917791D+02 -0.13661413D+02 -0.23360415D+02
   0.47000000D+00  0.32376922D+02 -0.13524908D+02 -0.23417795D+02
   0.48000000D+00  0.31813540D+02 -0.13380696D+02 -0.23473162D+02
   0.49000000D+00  0.31227581D+02 -0.13228907D+02 -0.23526297D+02
   0.50000000D+00  0.30619035D+02 -0.13069704D+02 -0.23576977D+02
   0.51000000D+00  0.29987957D+02 -0.12903274D+02 -0.23624971D+02
   0.52000000D+00  0.29334465D+02 -0.12729832D+02 -0.23670046D+02
   0.53000000D+00  0.28658750D+02 -0.12549613D+02 -0.23711954D+02
   0.54000000D+00  0.27961076D+02 -0.12362874D+02 -0.23750439D+02
   0.55000000D+00  0.27241787D+02 -0.12169884D+02 -0.23785230D+02
   0.56000000D+00  0.26501312D+02 -0.11970923D+02 -0.23816039D+02
