        1000  1.000000000000000E-002           2   1.00000000000000     
   0.68000000D+00  0.67000000D+00  0.53000000D+00
   0.00000000D+00 -0.83480629D+02 -0.57872609D+02 -0.50905305D+02
   0.10000000D-01 -0.83479325D+02 -0.57871348D+02 -0.50904053D+02
   0.20000000D-01 -0.83478194D+02 -0.57870666D+02 -0.50903460D+02
   0.30000000D-01 -0.83474379D+02 -0.57868791D+02 -0.50901970D+02
   0.40000000D-01 -0.83465122D+02 -0.57864723D+02 -0.50898934D+02
   0.50000000D-01 -0.83446603D+02 -0.57857062D+02 -0.50893433D+02
   0.60000000D-01 -0.83414024D+02 -0.57844037D+02 -0.50884302D+02
   0.70000000D-01 -0.83361699D+02 -0.57823537D+02 -0.50870149D+02
   0.80000000D-01 -0.83283153D+02 -0.57793144D+02 -0.50849371D+02
   0.90000000D-01 -0.83171245D+02 -0.57750164D+02 -0.50820179D+02
   0.10000000D+00 -0.83018298D+02 -0.57691675D+02 -0.50780622D+02
   0.11000000D+00 -0.82816244D+02 -0.57614565D+02 -0.50728609D+02
   0.12000000D+00 -0.82556783D+02 -0.57515584D+02 -0.50661946D+02
   0.13000000D+00 -0.82231544D+02 -0.57391397D+02 -0.50578361D+02
   0.14000000D+00 -0.81832258D+02 -0.57238632D+02 -0.50475536D+02
   0.15000000D+00 -0.81350927D+02 -0.57053941D+02 -0.50351147D+02
   0.16000000D+00 -0.80779997D+02 -0.56834051D+02 -0.50202891D+02
   0.17000000D+00 -0.80112532D+02 -0.56575827D+02 -0.50028529D+02
   0.18000000D+00 -0.79342376D+02 -0.56276319D+02 -0.49825912D+02
   0.19000000D+00 -0.78464308D+02 -0.55932828D+02 -0.49593026D+02
   0.20000000D+00 -0.77474185D+02 -0.55542948D+02 -0.49328019D+02
   0.21000000D+00 -0.76369072D+02 -0.55104623D+02 -0.49029236D+02
   0.22000000D+00 -0.75147352D+02 -0.54616189D+02 -0.48695251D+02
   0.23000000D+00 -0.73808815D+02 -0.54076421D+02 -0.48324896D+02
   0.24000000D+00 -0.72354730D+02 -0.53484562D+02 -0.47917288D+02
   0.25000000D+00 -0.70787888D+02 -0.52840364D+02 -0.47471853D+02
   0.26000000D+00 -0.69112619D+02 -0.52144107D+02 -0.46988345D+02
   0.27000000D+00 -0.67334785D+02 -0.51396616D+02 -0.46466864D+02
   0.28000000D+00 -0.65461751D+02 -0.50599280D+02 -0.45907872D+02
   0.29000000D+00 -0.63502316D+02 -0.49754047D+02 -0.45312195D+02
   0.30000000D+00 -0.61466635D+02 -0.48863426D+02 -0.44681034D+02
   0.31000000D+00 -0.59366105D+02 -0.47930473D+02 -0.44015960D+02
   0.32000000D+00 -0.57213231D+02 -0.46958768D+02 -0.43318911D+02
   0.33000000D+00 -0.55021474D+02 -0.45952393D+02 -0.42592177D+02
   0.34000000D+00 -0.52805077D+02 -0.44915890D+02 -0.41838391D+02
   0.35000000D+00 -0.50578875D+02 -0.43854220D+02 -0.41060500D+02
   0.36000000D+00 -0.48358098D+02 -0.42772709D+02 -0.40261746D+02
   0.37000000D+00 -0.46158157D+02 -0.41676994D+02 -0.39445628D+02
   0.38000000D+00 -0.43994423D+02 -0.40572951D+02 -0.38615871D+02
   0.39000000D+00 -0.41882008D+02 -0.39466627D+02 -0.37776379D+02
   0.40000000D+00 -0.39835535D+02 -0.38364161D+02 -0.36931196D+02
   0.41000000D+00 -0.37868917D+02 -0.37271700D+02 -0.36084449D+02
   0.42000000D+00 -0.35995134D+02 -0.36195316D+02 -0.35240299D+02
   0.43000000D+00 -0.34226013D+02 -0.35140910D+02 -0.34402882D+02
   0.44000000D+00 -0.32572021D+02 -0.34114122D+02 -0.33576252D+02
   0.45000000D+00 -0.31042064D+02 -0.33120239D+02 -0.32764315D+02
   0.46000000D+00 -0.29643297D+02 -0.32164093D+02 -0.31970769D+02
   0.47000000D+00 -0.28380949D+02 -0.31249977D+02 -0.31199042D+02
   0.48000000D+00 -0.27258171D+02 -0.30381550D+02 -0.30452226D+02
   0.49000000D+00 -0.26275895D+02 -0.29561754D+02 -0.29733025D+02
   0.50000000D+00 -0.25432719D+02 -0.28792737D+02 -0.29043689D+02
   0.51000000D+00 -0.24724828D+02 -0.28075778D+02 -0.28385967D+02
   0.52000000D+00 -0.24145960D+02 -0.27411241D+02 -0.27761059D+02
   0.53000000D+00 -0.23687426D+02 -0.26798535D+02 -0.27169588D+02
   0.54000000D+00 -0.23338178D+02 -0.26236102D+02 -0.26611574D+02
   0.55000000D+00 -0.23084900D+02 -0.25721401D+02 -0.26086413D+02
   0.56000000D+00 -0.22912242D+02 -0.25250945D+02 -0.25592878D+02
   0.57000000D+00 -0.22803167D+02 -0.24820387D+02 -0.25129162D+02
   0.58000000D+00 -0.22739346D+02 -0.24424618D+02 -0.24692919D+02
   0.59000000D+00 -0.22701640D+02 -0.24057885D+02 -0.24281310D+02
   0.60000000D+00 -0.22670891D+02 -0.23714028D+02 -0.23891126D+02
   0.61000000D+00 -0.22628667D+02 -0.23386728D+02 -0.23518928D+02
   0.62000000D+00 -0.22558238D+02 -0.23069791D+02 -0.23161185D+02
   0.63000000D+00 -0.22445996D+02 -0.22757615D+02 -0.22814527D+02
   0.64000000D+00 -0.22282472D+02 -0.22445575D+02 -0.22475969D+02
   0.65000000D+00 -0.22064212D+02 -0.22130626D+02 -0.22143236D+02
   0.66000000D+00 -0.21795728D+02 -0.21812010D+02 -0.21815156D+02
   0.67000000D+00 -0.21490670D+02 -0.21491740D+02 -0.21491960D+02
   0.68000000D+00 -0.21176321D+02 -0.21176177D+02 -0.21176144D+02
   0.69000000D+00 -0.20869261D+02 -0.20869224D+02 -0.20869216D+02
   0.70000000D+00 -0.20571013D+02 -0.20571055D+02 -0.20571064D+02
   0.71000000D+00 -0.20281346D+02 -0.20281343D+02 -0.20281343D+02
   0.72000000D+00 -0.19999670D+02 -0.19999661D+02 -0.19999659D+02
   0.73000000D+00 -0.19725685D+02 -0.19725687D+02 -0.19725688D+02
   0.74000000D+00 -0.19459123D+02 -0.19459124D+02 -0.19459125D+02
   0.75000000D+00 -0.19199671D+02 -0.19199671D+02 -0.19199670D+02
