        1000  1.000000000000000E-002           0   2.00000000000000     
   0.58000000D+00
   0.00000000D+00 -0.21390644D+03
   0.10000000D-01 -0.21389062D+03
   0.20000000D-01 -0.21384068D+03
   0.30000000D-01 -0.21374772D+03
   0.40000000D-01 -0.21359767D+03
   0.50000000D-01 -0.21337126D+03
   0.60000000D-01 -0.21304460D+03
   0.70000000D-01 -0.21258983D+03
   0.80000000D-01 -0.21197586D+03
   0.90000000D-01 -0.21116925D+03
   0.10000000D+00 -0.21013519D+03
   0.11000000D+00 -0.20883851D+03
   0.12000000D+00 -0.20724481D+03
   0.13000000D+00 -0.20532152D+03
   0.14000000D+00 -0.20303905D+03
   0.15000000D+00 -0.20037185D+03
   0.16000000D+00 -0.19729941D+03
   0.17000000D+00 -0.19380719D+03
   0.18000000D+00 -0.18988740D+03
   0.19000000D+00 -0.18553965D+03
   0.20000000D+00 -0.18077138D+03
   0.21000000D+00 -0.17559813D+03
   0.22000000D+00 -0.17004363D+03
   0.23000000D+00 -0.16413955D+03
   0.24000000D+00 -0.15792517D+03
   0.25000000D+00 -0.15144678D+03
   0.26000000D+00 -0.14475684D+03
   0.27000000D+00 -0.13791308D+03
   0.28000000D+00 -0.13097729D+03
   0.29000000D+00 -0.12401420D+03
   0.30000000D+00 -0.11709007D+03
   0.31000000D+00 -0.11027142D+03
   0.32000000D+00 -0.10362362D+03
   0.33000000D+00 -0.97209571D+02
   0.34000000D+00 -0.91088455D+02
   0.35000000D+00 -0.85314478D+02
   0.36000000D+00 -0.79935791D+02
   0.37000000D+00 -0.74993475D+02
   0.38000000D+00 -0.70520638D+02
   0.39000000D+00 -0.66541614D+02
   0.40000000D+00 -0.63071281D+02
   0.41000000D+00 -0.60114488D+02
   0.42000000D+00 -0.57665608D+02
   0.43000000D+00 -0.55708225D+02
   0.44000000D+00 -0.54214999D+02
   0.45000000D+00 -0.53147739D+02
   0.46000000D+00 -0.52457754D+02
   0.47000000D+00 -0.52086575D+02
   0.48000000D+00 -0.51967132D+02
   0.49000000D+00 -0.52025503D+02
   0.50000000D+00 -0.52183350D+02
   0.51000000D+00 -0.52361095D+02
   0.52000000D+00 -0.52482032D+02
   0.53000000D+00 -0.52477691D+02
   0.54000000D+00 -0.52294150D+02
   0.55000000D+00 -0.51899561D+02
   0.56000000D+00 -0.51292376D+02
   0.57000000D+00 -0.50511906D+02
   0.58000000D+00 -0.49654733D+02
   0.59000000D+00 -0.48812869D+02
   0.60000000D+00 -0.47999035D+02
   0.61000000D+00 -0.47212343D+02
   0.62000000D+00 -0.46450824D+02
   0.63000000D+00 -0.45713489D+02
   0.64000000D+00 -0.44999230D+02
   0.65000000D+00 -0.44306933D+02
   0.66000000D+00 -0.43635613D+02
   0.67000000D+00 -0.42984337D+02
   0.68000000D+00 -0.42352214D+02
   0.69000000D+00 -0.41738413D+02
   0.70000000D+00 -0.41142151D+02
   0.71000000D+00 -0.40562683D+02
   0.72000000D+00 -0.39999313D+02
   0.73000000D+00 -0.39451377D+02
   0.74000000D+00 -0.38918251D+02
   0.75000000D+00 -0.38399340D+02
   0.76000000D+00 -0.37894086D+02
   0.77000000D+00 -0.37401955D+02
   0.78000000D+00 -0.36922443D+02
   0.79000000D+00 -0.36455070D+02
   0.80000000D+00 -0.35999381D+02
   0.81000000D+00 -0.35554945D+02
   0.82000000D+00 -0.35121348D+02
   0.83000000D+00 -0.34698199D+02
   0.84000000D+00 -0.34285125D+02
   0.85000000D+00 -0.33881771D+02
   0.86000000D+00 -0.33487797D+02
   0.87000000D+00 -0.33102880D+02
